,HPO-library,HPO-method,ML-algorithm,run_id,random_seed,eval_count,losses,timestamps,configurations,run_successful,warmstart,runs,evaluations,workers
0,optuna,RandomSearch,RandomForestRegressor,e762eeeb-dc6b-475c-a0db-7883f34d9cd3,0,1,43395.290377840945,0.488755,"{'n_estimators': 173, 'max_depth': 48, 'min_samples_leaf': 22, 'min_samples_split': 2, 'max_features': 'sqrt'}",True,False,1,10,1
1,optuna,RandomSearch,RandomForestRegressor,e762eeeb-dc6b-475c-a0db-7883f34d9cd3,0,2,39292.10689017291,2.504473,"{'n_estimators': 196, 'max_depth': 10, 'min_samples_leaf': 20, 'min_samples_split': 20, 'max_features': 'auto'}",True,False,1,10,1
2,optuna,RandomSearch,RandomForestRegressor,e762eeeb-dc6b-475c-a0db-7883f34d9cd3,0,3,40057.53834223384,3.526228,"{'n_estimators': 88, 'max_depth': 71, 'min_samples_leaf': 25, 'min_samples_split': 14, 'max_features': 'auto'}",True,False,1,10,1
3,optuna,RandomSearch,RandomForestRegressor,e762eeeb-dc6b-475c-a0db-7883f34d9cd3,0,4,39959.74718063654,5.502938,"{'n_estimators': 194, 'max_depth': 40, 'min_samples_leaf': 24, 'min_samples_split': 16, 'max_features': 'auto'}",True,False,1,10,1
4,optuna,RandomSearch,RandomForestRegressor,e762eeeb-dc6b-475c-a0db-7883f34d9cd3,0,5,40272.50228604235,6.427781,"{'n_estimators': 82, 'max_depth': 38, 'min_samples_leaf': 26, 'min_samples_split': 15, 'max_features': 'auto'}",True,False,1,10,1
5,optuna,RandomSearch,RandomForestRegressor,e762eeeb-dc6b-475c-a0db-7883f34d9cd3,0,6,44157.799039386075,6.504076,"{'n_estimators': 10, 'max_depth': 21, 'min_samples_leaf': 20, 'min_samples_split': 18, 'max_features': 'sqrt'}",True,False,1,10,1
6,optuna,RandomSearch,RandomForestRegressor,e762eeeb-dc6b-475c-a0db-7883f34d9cd3,0,7,38553.00709840925,8.66654,"{'n_estimators': 198, 'max_depth': 80, 'min_samples_leaf': 16, 'min_samples_split': 2, 'max_features': 'auto'}",True,False,1,10,1
7,optuna,RandomSearch,RandomForestRegressor,e762eeeb-dc6b-475c-a0db-7883f34d9cd3,0,8,42980.1808505343,9.034027,"{'n_estimators': 100, 'max_depth': 50, 'min_samples_leaf': 20, 'min_samples_split': 16, 'max_features': 'sqrt'}",True,False,1,10,1
8,optuna,RandomSearch,RandomForestRegressor,e762eeeb-dc6b-475c-a0db-7883f34d9cd3,0,9,41282.31316430059,9.227868,"{'n_estimators': 33, 'max_depth': 66, 'min_samples_leaf': 10, 'min_samples_split': 2, 'max_features': 'sqrt'}",True,False,1,10,1
9,optuna,RandomSearch,RandomForestRegressor,e762eeeb-dc6b-475c-a0db-7883f34d9cd3,0,10,40614.406069492004,9.678805,"{'n_estimators': 152, 'max_depth': 36, 'min_samples_leaf': 12, 'min_samples_split': 20, 'max_features': 'sqrt'}",True,False,1,10,1
