,HPO-library,HPO-method,ML-algorithm,run_id,random_seed,eval_count,losses,timestamps,configurations,run_successful,warmstart,runs,evaluations,workers
0,skopt,SMAC,RandomForestRegressor,689204b0-0c4c-4c4e-b38d-71beca9c31e5,0,1,37513.56480742308,0.14020895957946777,"{'n_estimators': 48, 'max_depth': 65, 'min_samples_leaf': 4, 'min_samples_split': 5, 'max_features': 'sqrt'}",True,False,3,120,4
1,skopt,SMAC,RandomForestRegressor,689204b0-0c4c-4c4e-b38d-71beca9c31e5,0,2,40226.97909171858,0.2769041061401367,"{'n_estimators': 22, 'max_depth': 37, 'min_samples_leaf': 24, 'min_samples_split': 8, 'max_features': 'auto'}",True,False,3,120,4
2,skopt,SMAC,RandomForestRegressor,689204b0-0c4c-4c4e-b38d-71beca9c31e5,0,3,35952.47984638627,0.6545026302337646,"{'n_estimators': 141, 'max_depth': 59, 'min_samples_leaf': 2, 'min_samples_split': 8, 'max_features': 'sqrt'}",True,False,3,120,4
3,skopt,SMAC,RandomForestRegressor,689204b0-0c4c-4c4e-b38d-71beca9c31e5,0,4,40309.76452969355,1.6212749481201172,"{'n_estimators': 175, 'max_depth': 38, 'min_samples_leaf': 26, 'min_samples_split': 15, 'max_features': 'auto'}",True,False,3,120,4
4,skopt,SMAC,RandomForestRegressor,689204b0-0c4c-4c4e-b38d-71beca9c31e5,0,5,42147.73513223398,1.990920066833496,"{'n_estimators': 149, 'max_depth': 70, 'min_samples_leaf': 16, 'min_samples_split': 17, 'max_features': 'sqrt'}",True,False,3,120,4
5,skopt,SMAC,RandomForestRegressor,689204b0-0c4c-4c4e-b38d-71beca9c31e5,0,6,43084.375151338245,2.227707624435425,"{'n_estimators': 100, 'max_depth': 50, 'min_samples_leaf': 20, 'min_samples_split': 16, 'max_features': 'sqrt'}",True,False,3,120,4
6,skopt,SMAC,RandomForestRegressor,689204b0-0c4c-4c4e-b38d-71beca9c31e5,0,7,44454.68804461508,2.66717791557312,"{'n_estimators': 194, 'max_depth': 10, 'min_samples_leaf': 26, 'min_samples_split': 2, 'max_features': 'sqrt'}",True,False,3,120,4
7,skopt,SMAC,RandomForestRegressor,689204b0-0c4c-4c4e-b38d-71beca9c31e5,0,8,37454.49213569781,3.5712227821350098,"{'n_estimators': 152, 'max_depth': 36, 'min_samples_leaf': 12, 'min_samples_split': 20, 'max_features': 'auto'}",True,False,3,120,4
8,skopt,SMAC,RandomForestRegressor,689204b0-0c4c-4c4e-b38d-71beca9c31e5,0,9,65789.90435982645,3.661909818649292,"{'n_estimators': 35, 'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 6, 'max_features': 'sqrt'}",True,False,3,120,4
9,skopt,SMAC,RandomForestRegressor,689204b0-0c4c-4c4e-b38d-71beca9c31e5,0,10,43233.12096088141,3.7665462493896484,"{'n_estimators': 39, 'max_depth': 18, 'min_samples_leaf': 16, 'min_samples_split': 6, 'max_features': 'sqrt'}",True,False,3,120,4
10,skopt,SMAC,RandomForestRegressor,689204b0-0c4c-4c4e-b38d-71beca9c31e5,0,11,39998.70805380595,4.101338148117065,"{'n_estimators': 25, 'max_depth': 73, 'min_samples_leaf': 8, 'min_samples_split': 6, 'max_features': 'sqrt'}",True,False,3,120,4
11,skopt,SMAC,RandomForestRegressor,689204b0-0c4c-4c4e-b38d-71beca9c31e5,0,12,36673.076108037545,4.601039409637451,"{'n_estimators': 29, 'max_depth': 38, 'min_samples_leaf': 6, 'min_samples_split': 3, 'max_features': 'auto'}",True,False,3,120,4
12,skopt,SMAC,RandomForestRegressor,689204b0-0c4c-4c4e-b38d-71beca9c31e5,0,13,38667.259785818525,4.960297584533691,"{'n_estimators': 27, 'max_depth': 40, 'min_samples_leaf': 3, 'min_samples_split': 6, 'max_features': 'sqrt'}",True,False,3,120,4
