,HPO-library,HPO-method,ML-algorithm,run_id,random_seed,eval_count,losses,timestamps,configurations,run_successful,warmstart,runs,evaluations,workers
0,optuna,TPE,RandomForestRegressor,d6e0d94e-a8bc-4283-b83f-5e72ad784dc4,0,1,43021.93316253438,0.420028,"{'n_estimators': 173, 'max_depth': 48, 'min_samples_leaf': 22, 'min_samples_split': 2, 'max_features': 'sqrt'}",True,False,5,15,1
1,optuna,TPE,RandomForestRegressor,d6e0d94e-a8bc-4283-b83f-5e72ad784dc4,0,2,39292.14881782425,2.471856,"{'n_estimators': 196, 'max_depth': 10, 'min_samples_leaf': 20, 'min_samples_split': 20, 'max_features': 'auto'}",True,False,5,15,1
2,optuna,TPE,RandomForestRegressor,d6e0d94e-a8bc-4283-b83f-5e72ad784dc4,0,3,40057.21106470352,3.420536,"{'n_estimators': 88, 'max_depth': 71, 'min_samples_leaf': 25, 'min_samples_split': 14, 'max_features': 'auto'}",True,False,5,15,1
3,optuna,TPE,RandomForestRegressor,d6e0d94e-a8bc-4283-b83f-5e72ad784dc4,0,4,39959.35614577514,5.362206,"{'n_estimators': 194, 'max_depth': 40, 'min_samples_leaf': 24, 'min_samples_split': 16, 'max_features': 'auto'}",True,False,5,15,1
4,optuna,TPE,RandomForestRegressor,d6e0d94e-a8bc-4283-b83f-5e72ad784dc4,0,5,40273.20670673488,6.178905,"{'n_estimators': 82, 'max_depth': 38, 'min_samples_leaf': 26, 'min_samples_split': 15, 'max_features': 'auto'}",True,False,5,15,1
5,optuna,TPE,RandomForestRegressor,d6e0d94e-a8bc-4283-b83f-5e72ad784dc4,0,6,44113.61404872335,6.258499,"{'n_estimators': 10, 'max_depth': 21, 'min_samples_leaf': 20, 'min_samples_split': 18, 'max_features': 'sqrt'}",True,False,5,15,1
6,optuna,TPE,RandomForestRegressor,d6e0d94e-a8bc-4283-b83f-5e72ad784dc4,0,7,38545.510259850635,8.488005,"{'n_estimators': 198, 'max_depth': 80, 'min_samples_leaf': 16, 'min_samples_split': 2, 'max_features': 'auto'}",True,False,5,15,1
7,optuna,TPE,RandomForestRegressor,d6e0d94e-a8bc-4283-b83f-5e72ad784dc4,0,8,42373.5982987915,8.730913,"{'n_estimators': 100, 'max_depth': 50, 'min_samples_leaf': 20, 'min_samples_split': 16, 'max_features': 'sqrt'}",True,False,5,15,1
8,optuna,TPE,RandomForestRegressor,d6e0d94e-a8bc-4283-b83f-5e72ad784dc4,0,9,40712.46908901673,8.869509,"{'n_estimators': 33, 'max_depth': 66, 'min_samples_leaf': 10, 'min_samples_split': 2, 'max_features': 'sqrt'}",True,False,5,15,1
9,optuna,TPE,RandomForestRegressor,d6e0d94e-a8bc-4283-b83f-5e72ad784dc4,0,10,40427.06580520351,9.248593,"{'n_estimators': 152, 'max_depth': 36, 'min_samples_leaf': 12, 'min_samples_split': 20, 'max_features': 'sqrt'}",True,False,5,15,1
10,optuna,TPE,RandomForestRegressor,d6e0d94e-a8bc-4283-b83f-5e72ad784dc4,0,11,34098.22946834179,12.001804,"{'n_estimators': 139, 'max_depth': 79, 'min_samples_leaf': 1, 'min_samples_split': 8, 'max_features': 'auto'}",True,False,5,15,1
11,optuna,TPE,RandomForestRegressor,d6e0d94e-a8bc-4283-b83f-5e72ad784dc4,0,12,34332.47257111004,14.662592,"{'n_estimators': 136, 'max_depth': 75, 'min_samples_leaf': 1, 'min_samples_split': 7, 'max_features': 'auto'}",True,False,5,15,1
12,optuna,TPE,RandomForestRegressor,d6e0d94e-a8bc-4283-b83f-5e72ad784dc4,0,13,34345.81593158278,17.264047,"{'n_estimators': 135, 'max_depth': 80, 'min_samples_leaf': 1, 'min_samples_split': 7, 'max_features': 'auto'}",True,False,5,15,1
13,optuna,TPE,RandomForestRegressor,d6e0d94e-a8bc-4283-b83f-5e72ad784dc4,0,14,34925.51238521596,19.569047,"{'n_estimators': 128, 'max_depth': 64, 'min_samples_leaf': 2, 'min_samples_split': 8, 'max_features': 'auto'}",True,False,5,15,1
14,optuna,TPE,RandomForestRegressor,d6e0d94e-a8bc-4283-b83f-5e72ad784dc4,0,15,36386.28388975993,21.507563,"{'n_estimators': 123, 'max_depth': 80, 'min_samples_leaf': 5, 'min_samples_split': 7, 'max_features': 'auto'}",True,False,5,15,1
15,optuna,TPE,RandomForestRegressor,2ab0e9b9-a1bd-4679-bf11-ac62bae4c071,1,1,39610.47417373658,0.156134,"{'n_estimators': 38, 'max_depth': 13, 'min_samples_leaf': 9, 'min_samples_split': 11, 'max_features': 'sqrt'}",True,False,5,15,1
16,optuna,TPE,RandomForestRegressor,2ab0e9b9-a1bd-4679-bf11-ac62bae4c071,1,2,36647.36392303286,0.540738,"{'n_estimators': 134, 'max_depth': 80, 'min_samples_leaf': 1, 'min_samples_split': 18, 'max_features': 'sqrt'}",True,False,5,15,1
17,optuna,TPE,RandomForestRegressor,2ab0e9b9-a1bd-4679-bf11-ac62bae4c071,1,3,40716.512676637205,1.370623,"{'n_estimators': 72, 'max_depth': 7, 'min_samples_leaf': 26, 'min_samples_split': 20, 'max_features': 'auto'}",True,False,5,15,1
18,optuna,TPE,RandomForestRegressor,2ab0e9b9-a1bd-4679-bf11-ac62bae4c071,1,4,39691.31502532291,2.638546,"{'n_estimators': 102, 'max_depth': 19, 'min_samples_leaf': 21, 'min_samples_split': 13, 'max_features': 'auto'}",True,False,5,15,1
19,optuna,TPE,RandomForestRegressor,2ab0e9b9-a1bd-4679-bf11-ac62bae4c071,1,5,38398.33029939446,4.636668,"{'n_estimators': 157, 'max_depth': 30, 'min_samples_leaf': 15, 'min_samples_split': 20, 'max_features': 'auto'}",True,False,5,15,1
20,optuna,TPE,RandomForestRegressor,2ab0e9b9-a1bd-4679-bf11-ac62bae4c071,1,6,39944.888484215575,5.13124,"{'n_estimators': 97, 'max_depth': 14, 'min_samples_leaf': 10, 'min_samples_split': 11, 'max_features': 'sqrt'}",True,False,5,15,1
21,optuna,TPE,RandomForestRegressor,2ab0e9b9-a1bd-4679-bf11-ac62bae4c071,1,7,40124.34103570162,5.916764,"{'n_estimators': 64, 'max_depth': 62, 'min_samples_leaf': 23, 'min_samples_split': 3, 'max_features': 'auto'}",True,False,5,15,1
